Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0,0.0,0.0078125,1.0
RDP,0.0,100,1.0,0.999921875,127.99
BU_1,0.0,100,1.0,1.0078125,129.0
BU_2,0.0,100,1.0,1.0,128.0
VW,0.0,100,1.0,1.0,128.0
OS,0.01,51,0.35373252439989444,0.053359375,6.83
RDP,0.01,92,0.898244721444925,0.3440625,44.04
BU_1,0.01,82,0.7706422018348624,0.151484375,19.39
BU_2,0.01,82,0.7706422018348624,0.288984375,36.99
VW,0.01,95,0.9364433710435999,0.45234375,57.9
OS,0.02,56,0.42476140671983276,0.069765625,8.93
RDP,0.02,83,0.7825808926972758,0.210703125,26.97
BU_1,0.02,77,0.7055811571940604,0.120625,15.44
BU_2,0.02,77,0.7055811571940604,0.227265625,29.09
VW,0.02,93,0.9108961303462322,0.3365625,43.08
OS,0.03,67,0.5709828393135725,0.081015625,10.37
RDP,0.03,81,0.7569089048106448,0.156171875,19.99
BU_1,0.03,73,0.6547314578005115,0.106640625,13.65
BU_2,0.03,73,0.6547314578005115,0.199296875,25.51
VW,0.03,92,0.8979591836734694,0.285078125,36.49
OS,0.04,75,0.6773360867320599,0.09046875,11.58
RDP,0.04,79,0.7303197637087453,0.126953125,16.25
BU_1,0.04,72,0.6403339755940911,0.097578125,12.49
BU_2,0.04,72,0.6403339755940911,0.181171875,23.19
VW,0.04,89,0.8595146871008941,0.2496875,31.96
OS,0.05,77,0.7039516025228472,0.09953125,12.74
RDP,0.05,76,0.6923471349826945,0.11125,14.24
BU_1,0.05,70,0.6165154032979675,0.090703125,11.61
BU_2,0.05,70,0.6165154032979675,0.167421875,21.43
VW,0.05,86,0.8212233431234837,0.22578125,28.9
OS,0.06,78,0.716677398583387,0.106640625,13.65
RDP,0.06,71,0.6294876708828414,0.101640625,13.01
BU_1,0.06,67,0.5788667687595712,0.085859375,10.99
BU_2,0.06,67,0.5788667687595712,0.157734375,20.19
VW,0.06,85,0.8086734693877551,0.2078125,26.6
OS,0.07,79,0.7301464919043947,0.111875,14.32
RDP,0.07,65,0.5559502664298401,0.093984375,12.03
BU_1,0.07,65,0.5528299476172225,0.081875,10.48
BU_2,0.07,65,0.5528299476172225,0.149765625,19.17
VW,0.07,85,0.8086734693877551,0.191953125,24.57
OS,0.08,78,0.7169689952399331,0.119140625,15.25
RDP,0.08,67,0.5810055865921788,0.08859375,11.34
BU_1,0.08,62,0.5136933708727924,0.077890625,9.97
BU_2,0.08,62,0.5136933708727924,0.141796875,18.15
VW,0.08,83,0.7835222208073348,0.181640625,23.25
OS,0.09,78,0.7169689952399331,0.12453125,15.94
RDP,0.09,66,0.5685279187817258,0.083203125,10.65
BU_1,0.09,61,0.49903660886319856,0.07515625,9.62
BU_2,0.09,61,0.49903660886319856,0.136328125,17.45
VW,0.09,83,0.7835222208073348,0.173515625,22.21
OS,0.1,78,0.7169689952399331,0.129375,16.56
RDP,0.1,64,0.5443614732312365,0.079921875,10.23
BU_1,0.1,59,0.4706262104583603,0.071875,9.2
BU_2,0.1,59,0.4706262104583603,0.129765625,16.61
VW,0.1,84,0.7955532839253769,0.165234375,21.15
OS,0.11,78,0.7169689952399331,0.134609375,17.23
RDP,0.11,63,0.5302183849669884,0.0753125,9.64
BU_1,0.11,56,0.44213803840166066,0.069609375,8.91
BU_2,0.11,56,0.44213803840166066,0.125234375,16.03
VW,0.11,81,0.7559722578987927,0.159765625,20.45
OS,0.12,79,0.729694941433904,0.139765625,17.89
RDP,0.12,57,0.46741060106517884,0.07015625,8.98
BU_1,0.12,55,0.41390987236259447,0.067578125,8.65
BU_2,0.12,55,0.41390987236259447,0.121171875,15.51
VW,0.12,80,0.7428314259997428,0.155,19.84
OS,0.13,79,0.729694941433904,0.145625,18.64
RDP,0.13,56,0.4526476578411406,0.06703125,8.58
BU_1,0.13,55,0.41306899700013033,0.06546875,8.38
BU_2,0.13,55,0.41306899700013033,0.116953125,14.97
VW,0.13,80,0.7443762781186094,0.150546875,19.27
OS,0.14,79,0.729694941433904,0.150859375,19.31
RDP,0.14,56,0.4520198802089971,0.065,8.32
BU_1,0.14,54,0.40166493236212286,0.06390625,8.18
BU_2,0.14,54,0.40166493236212286,0.113828125,14.57
VW,0.14,78,0.7181655137074046,0.14609375,18.7
OS,0.15,80,0.7428644895860118,0.1546875,19.8
RDP,0.15,54,0.41527901360111863,0.061953125,7.93
BU_1,0.15,51,0.3593096234309624,0.0625,8.0
BU_2,0.15,51,0.3593096234309624,0.111015625,14.21
VW,0.15,79,0.7301118108212312,0.142421875,18.23
OS,0.16,80,0.7428644895860118,0.158125,20.24
RDP,0.16,52,0.3884571282965984,0.05953125,7.62
BU_1,0.16,51,0.3598118630781292,0.060625,7.76
BU_2,0.16,51,0.3598118630781292,0.107265625,13.73
VW,0.16,79,0.7302504816955684,0.139453125,17.85
OS,0.17,82,0.768993839835729,0.163359375,20.91
RDP,0.17,51,0.379746835443038,0.0575,7.36
BU_1,0.17,51,0.3598118630781292,0.059609375,7.63
BU_2,0.17,51,0.3598118630781292,0.105234375,13.47
VW,0.17,77,0.7048254620123203,0.137109375,17.55
OS,0.18,82,0.768993839835729,0.16734375,21.42
RDP,0.18,50,0.36892591190205737,0.055625,7.12
BU_1,0.18,50,0.3488735512436516,0.058359375,7.47
BU_2,0.18,50,0.3488735512436516,0.102734375,13.15
VW,0.18,78,0.7169689952399331,0.1340625,17.16
OS,0.19,82,0.768993839835729,0.172421875,22.07
RDP,0.19,48,0.3417721518987342,0.0534375,6.84
BU_1,0.19,49,0.33307179285994504,0.0575,7.36
BU_2,0.19,49,0.33307179285994504,0.101015625,12.93
VW,0.19,78,0.7169689952399331,0.13078125,16.74
OS,0.2,83,0.7820792206127419,0.17671875,22.62
RDP,0.2,48,0.3477170095333668,0.0525,6.72
BU_1,0.2,49,0.3328973185088293,0.056328125,7.21
BU_2,0.2,49,0.3328973185088293,0.098671875,12.63
VW,0.2,78,0.7169689952399331,0.128671875,16.47
OS,0.21,84,0.795134443021767,0.18234375,23.34
RDP,0.21,46,0.3241551939924907,0.050625,6.48
BU_1,0.21,48,0.31963888525448125,0.0553125,7.08
BU_2,0.21,48,0.31963888525448125,0.096640625,12.37
VW,0.21,77,0.7042561398997043,0.12640625,16.18
OS,0.22,84,0.795134443021767,0.186484375,23.87
RDP,0.22,47,0.3381618381618383,0.049921875,6.39
BU_1,0.22,48,0.31865828092243176,0.05453125,6.98
BU_2,0.22,48,0.31865828092243176,0.095078125,12.17
VW,0.22,77,0.7042561398997043,0.1253125,16.04
OS,0.23,85,0.8083801737353091,0.19125,24.48
RDP,0.23,45,0.3115533859056203,0.048984375,6.27
BU_1,0.23,48,0.31865828092243176,0.053984375,6.91
BU_2,0.23,48,0.31865828092243176,0.093984375,12.03
VW,0.23,77,0.7042561398997043,0.12296875,15.74
OS,0.24,86,0.8210633946830266,0.19625,25.12
RDP,0.24,45,0.3136153750155998,0.048125,6.16
BU_1,0.24,48,0.32362122788761716,0.053046875,6.79
BU_2,0.24,48,0.32362122788761716,0.092109375,11.79
VW,0.24,77,0.7042561398997043,0.1209375,15.48
OS,0.25,87,0.8342259627646009,0.201171875,25.75
RDP,0.25,45,0.31378665003119155,0.046875,6.0
BU_1,0.25,47,0.31311560393986515,0.052265625,6.69
BU_2,0.25,47,0.31311560393986515,0.090546875,11.59
VW,0.25,77,0.7042561398997043,0.11953125,15.3
OS,0.26,87,0.8342259627646009,0.20609375,26.38
RDP,0.26,43,0.29533934973420684,0.04609375,5.9
BU_1,0.26,46,0.30250581245156294,0.051875,6.64
BU_2,0.26,46,0.30250581245156294,0.089765625,11.49
VW,0.26,77,0.7042561398997043,0.11859375,15.18
OS,0.27,88,0.8469387755102041,0.212109375,27.15
RDP,0.27,43,0.2945544554455445,0.045390625,5.81
BU_1,0.27,44,0.27779210729945825,0.0509375,6.52
BU_2,0.27,44,0.27779210729945825,0.087890625,11.25
VW,0.27,76,0.6916356160863419,0.116875,14.96
OS,0.28,88,0.8469387755102041,0.216796875,27.75
RDP,0.28,41,0.271784744507529,0.04421875,5.66
BU_1,0.28,44,0.2811296534017971,0.05015625,6.42
BU_2,0.28,44,0.2811296534017971,0.086328125,11.05
VW,0.28,76,0.6916356160863419,0.11546875,14.78
OS,0.29,88,0.8469387755102041,0.221796875,28.39
RDP,0.29,41,0.27420346906138504,0.043046875,5.51
BU_1,0.29,44,0.2789080607777491,0.049609375,6.35
BU_2,0.29,44,0.2789080607777491,0.085234375,10.91
VW,0.29,76,0.6916356160863419,0.11359375,14.54
OS,0.3,89,0.8595864181771764,0.228125,29.2
RDP,0.3,41,0.27420346906138504,0.042421875,5.43
BU_1,0.3,44,0.28251121076233177,0.04921875,6.3
BU_2,0.3,44,0.28251121076233177,0.084453125,10.81
VW,0.3,75,0.6784152302546951,0.11203125,14.34
OS,0.31,89,0.8595864181771764,0.23390625,29.94
RDP,0.31,41,0.27420346906138504,0.04171875,5.34
BU_1,0.31,43,0.2677286742034942,0.04875,6.24
BU_2,0.31,43,0.2677286742034942,0.083515625,10.69
VW,0.31,75,0.6784152302546951,0.110703125,14.17
OS,0.32,88,0.8466453674121406,0.240703125,30.81
RDP,0.32,42,0.28808150239351904,0.04140625,5.3
BU_1,0.32,43,0.26744634365762754,0.048359375,6.19
BU_2,0.32,43,0.26744634365762754,0.082734375,10.59
VW,0.32,75,0.6784152302546951,0.109375,14.0
OS,0.33,88,0.8466453674121406,0.24765625,31.7
RDP,0.33,42,0.28808150239351904,0.04125,5.28
BU_1,0.33,43,0.26489553778694863,0.047890625,6.13
BU_2,0.33,43,0.26489553778694863,0.081796875,10.47
VW,0.33,74,0.6657238364618154,0.10828125,13.86
OS,0.34,88,0.8466453674121406,0.25453125,32.58
RDP,0.34,39,0.25754625121713726,0.040859375,5.23
BU_1,0.34,43,0.26489553778694863,0.0471875,6.04
BU_2,0.34,43,0.26489553778694863,0.080390625,10.29
VW,0.34,74,0.6657238364618154,0.107421875,13.75
OS,0.35000000000000003,88,0.8466453674121406,0.26015625,33.3
RDP,0.35000000000000003,39,0.25988837660761943,0.039921875,5.11
BU_1,0.35000000000000003,43,0.2671637953201337,0.04703125,6.02
