Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.41,0.004051316677920247,0.007692307692307692,1.0
RDP,0.0,1.0,1.0,0.9928461538461538,129.07
BU,0.0,1.0,1.0,1.0076923076923077,131.0
VC,0.0,1.0,1.0,1.0,130.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.93,0.6601941747572816,0.1889230769230769,24.56
RDP,0.1,0.77,0.2892459826946848,0.1149230769230769,14.94
BU,0.1,0.7,0.1794310722100657,0.07946153846153844,10.33
VC,0.1,0.95,0.7357293868921776,0.24846153846153846,32.3
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.97,0.8259860788863109,0.28607692307692306,37.19
RDP,0.2,0.63,0.05322415557830085,0.05515384615384615,7.17
BU,0.2,0.42,0.06088082901554415,0.04869230769230768,6.33
VC,0.2,0.92,0.6268656716417911,0.18853846153846152,24.51
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.98,0.8780487804878049,0.37569230769230777,48.84
RDP,0.30000000000000004,0.22,0.007128309572301483,0.018,2.34
BU,0.30000000000000004,0.18,-0.000976562500000222,0.03307692307692307,4.3
VC,0.30000000000000004,0.85,0.45095168374816985,0.15830769230769232,20.58
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,1.0,1.0,0.46553846153846157,60.52
RDP,0.4,0.13,-0.030317385125532947,0.009153846153846153,1.19
BU,0.4,0.15,-0.027066215563074092,0.025076923076923077,3.26
VC,0.4,0.8,0.36548223350253817,0.13984615384615384,18.18
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.556923076923077,72.4
RDP,0.5,0.16,-0.025390625000000222,0.008538461538461536,1.11
BU,0.5,0.17,-0.023680315737542923,0.02046153846153846,2.66
VC,0.5,0.81,0.3807040417209908,0.12546153846153846,16.31
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.6496923076923078,84.46
RDP,0.6000000000000001,0.19,-0.042202779207411334,0.008153846153846152,1.06
BU,0.6000000000000001,0.2,-0.018329938900203624,0.017846153846153845,2.32
VC,0.6000000000000001,0.76,0.3119266055045872,0.11161538461538462,14.51
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.7380000000000001,95.94
RDP,0.7000000000000001,0.15,-0.16951018161805154,0.007692307692307692,1.0
BU,0.7000000000000001,0.2,-0.018329938900203624,0.016999999999999998,2.21
VC,0.7000000000000001,0.74,0.288840262582057,0.10084615384615385,13.11
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.8242307692307694,107.15
RDP,0.8,0.15,-0.16951018161805154,0.007692307692307692,1.0
BU,0.8,0.22,-0.014568158168574374,0.016538461538461537,2.15
VC,0.8,0.72,0.2677824267782426,0.09269230769230768,12.05
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.9042307692307694,117.55
RDP,0.9,0.15,-0.16951018161805154,0.007692307692307692,1.0
BU,0.9,0.24,-0.010638297872340496,0.016153846153846154,2.1
VC,0.9,0.73,0.27807486631016054,0.08553846153846154,11.12
LSF,0.9,0.0,0.0,0.0,0.0
