Type,Alpha,Percentage Agreement,Kappa Loyalty,Complexity,Num Segments
OS,0.0,5,0.0,0.0078125,1.0
RDP,0.0,100,1.0,0.979296875,125.35
BU,0.0,100,1.0,1.0078125,129.0
VW,0.0,100,1.0,1.0,128.0
LSF,0.0,0,0.0,0.0,0.0
OS,0.01,88,0.7364953886693018,0.047265625,6.05
RDP,0.01,100,1.0,0.2609375,33.4
BU,0.01,98,0.9596530159370587,0.103515625,13.25
VW,0.01,100,1.0,0.40375,51.68
LSF,0.01,0,0.0,0.0,0.0
OS,0.02,94,0.8738700861887745,0.060546875,7.75
RDP,0.02,99,0.9799398194583752,0.14015625,17.94
BU,0.02,97,0.9387755102040817,0.0825,10.56
VW,0.02,100,1.0,0.27546875,35.26
LSF,0.02,0,0.0,0.0,0.0
OS,0.03,96,0.9174065661779889,0.06734375,8.62
RDP,0.03,98,0.9596530159370587,0.12359375,15.82
BU,0.03,97,0.9387755102040817,0.07390625,9.46
VW,0.03,100,1.0,0.23,29.44
LSF,0.03,0,0.0,0.0,0.0
OS,0.04,97,0.9387755102040817,0.073515625,9.41
RDP,0.04,98,0.9596530159370587,0.107890625,13.81
BU,0.04,96,0.9174065661779889,0.0690625,8.84
VW,0.04,100,1.0,0.199609375,25.55
LSF,0.04,0,0.0,0.0,0.0
OS,0.05,97,0.9387755102040817,0.076015625,9.73
RDP,0.05,97,0.9387755102040817,0.0915625,11.72
BU,0.05,96,0.9174065661779889,0.0653125,8.36
VW,0.05,98,0.9596530159370587,0.178046875,22.79
LSF,0.05,0,0.0,0.0,0.0
OS,0.06,97,0.9387755102040817,0.078125,10.0
RDP,0.06,97,0.9387755102040817,0.086015625,11.01
BU,0.06,96,0.9174065661779889,0.0634375,8.12
VW,0.06,98,0.9594155844155844,0.16375,20.96
LSF,0.06,0,0.0,0.0,0.0
OS,0.07,97,0.9387755102040817,0.07953125,10.18
RDP,0.07,97,0.9387755102040817,0.082421875,10.55
BU,0.07,95,0.8955286251567071,0.06234375,7.98
VW,0.07,98,0.9594155844155844,0.144921875,18.55
LSF,0.07,0,0.0,0.0,0.0
OS,0.08,97,0.9387755102040817,0.08140625,10.42
RDP,0.08,97,0.9387755102040817,0.0790625,10.12
BU,0.08,95,0.8955286251567071,0.061328125,7.85
VW,0.08,97,0.9387755102040817,0.132421875,16.95
LSF,0.08,0,0.0,0.0,0.0
OS,0.09,97,0.9387755102040817,0.083046875,10.63
RDP,0.09,97,0.9384110039006364,0.07640625,9.78
BU,0.09,95,0.8955286251567071,0.0603125,7.72
VW,0.09,97,0.9387755102040817,0.124609375,15.95
LSF,0.09,0,0.0,0.0,0.0
OS,0.1,97,0.9387755102040817,0.08484375,10.86
RDP,0.1,97,0.9387755102040817,0.074375,9.52
BU,0.1,95,0.8955286251567071,0.059296875,7.59
VW,0.1,96,0.9174065661779889,0.118984375,15.23
LSF,0.1,0,0.0,0.0,0.0
OS,0.11,97,0.9387755102040817,0.087265625,11.17
RDP,0.11,97,0.9387755102040817,0.072734375,9.31
BU,0.11,94,0.8738700861887745,0.058125,7.44
VW,0.11,96,0.9174065661779889,0.11421875,14.62
LSF,0.11,0,0.0,0.0,0.0
OS,0.12,97,0.9387755102040817,0.08953125,11.46
RDP,0.12,96,0.9174065661779889,0.071015625,9.09
BU,0.12,94,0.8738700861887745,0.057265625,7.33
VW,0.12,96,0.9174065661779889,0.107890625,13.81
LSF,0.12,0,0.0,0.0,0.0
OS,0.13,97,0.9387755102040817,0.09390625,12.02
RDP,0.13,96,0.9174065661779889,0.06921875,8.86
BU,0.13,92,0.8297510108533731,0.05625,7.2
VW,0.13,96,0.9174065661779889,0.10203125,13.06
LSF,0.13,0,0.0,0.0,0.0
OS,0.14,98,0.9596530159370587,0.099609375,12.75
RDP,0.14,96,0.9174065661779889,0.068125,8.72
BU,0.14,92,0.8297510108533731,0.05546875,7.1
VW,0.14,96,0.9174065661779889,0.098046875,12.55
LSF,0.14,0,0.0,0.0,0.0
OS,0.15,98,0.9596530159370587,0.105546875,13.51
RDP,0.15,96,0.9174065661779889,0.06546875,8.38
BU,0.15,91,0.8072805139186295,0.054921875,7.03
VW,0.15,96,0.9174065661779889,0.095390625,12.21
LSF,0.15,0,0.0,0.0,0.0
OS,0.16,98,0.9596530159370587,0.11125,14.24
RDP,0.16,95,0.8955286251567071,0.063203125,8.09
BU,0.16,91,0.8072805139186295,0.054765625,7.01
VW,0.16,96,0.9174065661779889,0.092734375,11.87
LSF,0.16,0,0.0,0.0,0.0
OS,0.17,99,0.9800558436378142,0.116875,14.96
RDP,0.17,95,0.8955286251567071,0.06046875,7.74
BU,0.17,90,0.7845291962939022,0.05359375,6.86
VW,0.17,96,0.9174065661779889,0.091328125,11.69
LSF,0.17,0,0.0,0.0,0.0
OS,0.18,99,0.9800558436378142,0.12265625,15.7
RDP,0.18,95,0.8955286251567071,0.05734375,7.34
BU,0.18,90,0.7831743278404163,0.053125,6.8
VW,0.18,96,0.9174065661779889,0.09015625,11.54
LSF,0.18,0,0.0,0.0,0.0
OS,0.19,99,0.9800558436378142,0.12765625,16.34
RDP,0.19,95,0.8955286251567071,0.053046875,6.79
BU,0.19,89,0.7599825441850316,0.052890625,6.77
VW,0.19,96,0.9174065661779889,0.089296875,11.43
LSF,0.19,0,0.0,0.0,0.0
OS,0.2,99,0.9800558436378142,0.13265625,16.98
RDP,0.2,95,0.8955286251567071,0.049140625,6.29
BU,0.2,89,0.7599825441850316,0.052265625,6.69
VW,0.2,96,0.9174065661779889,0.087578125,11.21
LSF,0.2,0,0.0,0.0,0.0
OS,0.21,99,0.9800558436378142,0.13578125,17.38
RDP,0.21,95,0.8948917384906454,0.0453125,5.8
BU,0.21,88,0.7364953886693018,0.05140625,6.58
VW,0.21,96,0.9174065661779889,0.086484375,11.07
LSF,0.21,0,0.0,0.0,0.0
OS,0.22,99,0.9800558436378142,0.137265625,17.57
RDP,0.22,95,0.8948917384906454,0.042734375,5.47
BU,0.22,88,0.7364953886693018,0.050546875,6.47
VW,0.22,96,0.9174065661779889,0.084765625,10.85
LSF,0.22,0,0.0,0.0,0.0
OS,0.23,99,0.9800558436378142,0.13890625,17.78
RDP,0.23,95,0.8948917384906454,0.03984375,5.1
BU,0.23,88,0.7364953886693018,0.05,6.4
VW,0.23,96,0.9174065661779889,0.08328125,10.66
LSF,0.23,0,0.0,0.0,0.0
OS,0.24,100,1.0,0.140546875,17.99
RDP,0.24,95,0.8948917384906454,0.037734375,4.83
BU,0.24,88,0.7364953886693018,0.04953125,6.34
VW,0.24,96,0.9174065661779889,0.0815625,10.44
LSF,0.24,0,0.0,0.0,0.0
OS,0.25,100,1.0,0.142265625,18.21
RDP,0.25,95,0.8948917384906454,0.03609375,4.62
BU,0.25,88,0.7364953886693018,0.049375,6.32
VW,0.25,96,0.9174065661779889,0.08,10.24
LSF,0.25,0,0.0,0.0,0.0
OS,0.26,100,1.0,0.14421875,18.46
RDP,0.26,95,0.8948917384906454,0.034140625,4.37
BU,0.26,87,0.7127071823204421,0.048984375,6.27
VW,0.26,96,0.9174065661779889,0.0790625,10.12
LSF,0.26,0,0.0,0.0,0.0
OS,0.27,99,0.9800558436378142,0.146796875,18.79
RDP,0.27,95,0.8948917384906454,0.032734375,4.19
BU,0.27,87,0.7127071823204421,0.048359375,6.19
VW,0.27,96,0.9174065661779889,0.07875,10.08
LSF,0.27,0,0.0,0.0,0.0
OS,0.28,99,0.9800558436378142,0.147734375,18.91
RDP,0.28,95,0.8948917384906454,0.031796875,4.07
BU,0.28,87,0.7127071823204421,0.047890625,6.13
VW,0.28,96,0.9174065661779889,0.07828125,10.02
LSF,0.28,0,0.0,0.0,0.0
OS,0.29,99,0.9800558436378142,0.14984375,19.18
RDP,0.29,95,0.8948917384906454,0.03109375,3.98
BU,0.29,87,0.7127071823204421,0.047734375,6.11
VW,0.29,96,0.9174065661779889,0.07765625,9.94
LSF,0.29,0,0.0,0.0,0.0
OS,0.3,99,0.9800558436378142,0.15171875,19.42
RDP,0.3,95,0.8948917384906454,0.03015625,3.86
BU,0.3,88,0.7364953886693018,0.047421875,6.07
VW,0.3,96,0.9174065661779889,0.076875,9.84
LSF,0.3,0,0.0,0.0,0.0
OS,0.31,99,0.9800558436378142,0.154921875,19.83
RDP,0.31,94,0.8730964467005076,0.02859375,3.66
BU,0.31,88,0.7364953886693018,0.047109375,6.03
VW,0.31,96,0.9174065661779889,0.0759375,9.72
LSF,0.31,0,0.0,0.0,0.0
OS,0.32,99,0.9800558436378142,0.15796875,20.22
RDP,0.32,94,0.8738700861887745,0.027890625,3.57
BU,0.32,89,0.7599825441850316,0.04703125,6.02
VW,0.32,96,0.9174065661779889,0.07546875,9.66
LSF,0.32,0,0.0,0.0,0.0
OS,0.33,99,0.9800558436378142,0.161640625,20.69
RDP,0.33,94,0.8738700861887745,0.0271875,3.48
BU,0.33,89,0.7599825441850316,0.046953125,6.01
VW,0.33,96,0.9174065661779889,0.074765625,9.57
LSF,0.33,0,0.0,0.0,0.0
OS,0.34,99,0.9800558436378142,0.165390625,21.17
RDP,0.34,93,0.8519458544839256,0.0259375,3.32
BU,0.34,89,0.7599825441850316,0.046796875,5.99
VW,0.34,96,0.9174065661779889,0.073984375,9.47
LSF,0.34,0,0.0,0.0,0.0
OS,0.35000000000000003,99,0.9800558436378142,0.16890625,21.62
RDP,0.35000000000000003,91,0.8072805139186295,0.02484375,3.18
BU,0.35000000000000003,89,0.7599825441850316,0.0465625,5.96
VW,0.35000000000000003,96,0.9174065661779889,0.07328125,9.38
LSF,0.35000000000000003,0,0.0,0.0,0.0
OS,0.36,99,0.9800558436378142,0.171015625,21.89
RDP,0.36,90,0.7845291962939022,0.02359375,3.02
BU,0.36,89,0.7599825441850316,0.04640625,5.94
VW,0.36,96,0.9174065661779889,0.07296875,9.34
LSF,0.36,0,0.0,0.0,0.0
OS,0.37,99,0.9800558436378142,0.173125,22.16
RDP,0.37,90,0.7845291962939022,0.022734375,2.91
BU,0.37,89,0.7599825441850316,0.04640625,5.94
VW,0.37,96,0.9174065661779889,0.07265625,9.3
LSF,0.37,0,0.0,0.0,0.0
OS,0.38,99,0.9800558436378142,0.174921875,22.39
RDP,0.38,90,0.7845291962939022,0.02234375,2.86
BU,0.38,89,0.7599825441850316,0.046328125,5.93
VW,0.38,96,0.9174065661779889,0.07203125,9.22
LSF,0.38,0,0.0,0.0,0.0
OS,0.39,99,0.9800558436378142,0.177421875,22.71
RDP,0.39,86,0.6906077348066298,0.021171875,2.71
BU,0.39,89,0.7599825441850316,0.04609375,5.9
VW,0.39,96,0.9174065661779889,0.071640625,9.17
LSF,0.39,0,0.0,0.0,0.0
OS,0.4,99,0.9800558436378142,0.180390625,23.09
RDP,0.4,84,0.6418177747929259,0.02015625,2.58
BU,0.4,89,0.7599825441850316,0.04578125,5.86
VW,0.4,96,0.9174065661779889,0.071015625,9.09
LSF,0.4,0,0.0,0.0,0.0
OS,0.41000000000000003,99,0.9800558436378142,0.183984375,23.55
RDP,0.41000000000000003,81,0.5662100456621004,0.019453125,2.49
BU,0.41000000000000003,89,0.7599825441850316,0.04578125,5.86
VW,0.41000000000000003,96,0.9174065661779889,0.07046875,9.02
LSF,0.41000000000000003,0,0.0,0.0,0.0
OS,0.42,99,0.9800558436378142,0.186875,23.92
RDP,0.42,80,0.5403355550448172,0.01890625,2.42
BU,0.42,89,0.7599825441850316,0.045390625,5.81
VW,0.42,96,0.9174065661779889,0.070078125,8.97
LSF,0.42,0,0.0,0.0,0.0
OS,0.43,99,0.9800558436378142,0.191328125,24.49
RDP,0.43,79,0.5141138361869504,0.018515625,2.37
BU,0.43,89,0.7599825441850316,0.045234375,5.79
VW,0.43,96,0.9174065661779889,0.069765625,8.93
LSF,0.43,0,0.0,0.0,0.0
OS,0.44,99,0.9800558436378142,0.195234375,24.99
RDP,0.44,79,0.5141138361869504,0.018359375,2.35
BU,0.44,89,0.7599825441850316,0.045,5.76
VW,0.44,96,0.9174065661779889,0.06921875,8.86
LSF,0.44,0,0.0,0.0,0.0
OS,0.45,99,0.9800558436378142,0.200078125,25.61
RDP,0.45,78,0.4875378523177265,0.01796875,2.3
BU,0.45,89,0.7599825441850316,0.04453125,5.7
VW,0.45,96,0.9174065661779889,0.068359375,8.75
LSF,0.45,0,0.0,0.0,0.0
OS,0.46,99,0.9800558436378142,0.205546875,26.31
RDP,0.46,76,0.43329397874852427,0.0175,2.24
BU,0.46,89,0.7599825441850316,0.044296875,5.67
VW,0.46,96,0.9174065661779889,0.068046875,8.71
LSF,0.46,0,0.0,0.0,0.0
OS,0.47000000000000003,99,0.9800558436378142,0.21078125,26.98
RDP,0.47000000000000003,76,0.43329397874852427,0.01734375,2.22
BU,0.47000000000000003,89,0.7599825441850316,0.043984375,5.63
VW,0.47000000000000003,96,0.9174065661779889,0.06765625,8.66
LSF,0.47000000000000003,0,0.0,0.0,0.0
OS,0.48,99,0.9800558436378142,0.216953125,27.77
RDP,0.48,76,0.43329397874852427,0.01734375,2.22
BU,0.48,89,0.7599825441850316,0.043515625,5.57
VW,0.48,96,0.9174065661779889,0.06734375,8.62
LSF,0.48,0,0.0,0.0,0.0
OS,0.49,100,1.0,0.22328125,28.58
RDP,0.49,76,0.4293865905848787,0.016796875,2.15
BU,0.49,89,0.7599825441850316,0.04328125,5.54
VW,0.49,96,0.9174065661779889,0.066875,8.56
LSF,0.49,0,0.0,0.0,0.0
OS,0.5,100,1.0,0.230546875,29.51
RDP,0.5,76,0.4293865905848787,0.015859375,2.03
BU,0.5,89,0.7599825441850316,0.0428125,5.48
VW,0.5,96,0.9174065661779889,0.0665625,8.52
LSF,0.5,0,0.0,0.0,0.0
OS,0.51,100,1.0,0.240703125,30.81
RDP,0.51,76,0.4293865905848787,0.014921875,1.91
BU,0.51,89,0.7599825441850316,0.0425,5.44
VW,0.51,96,0.9174065661779889,0.06609375,8.46
LSF,0.51,0,0.0,0.0,0.0
OS,0.52,100,1.0,0.251640625,32.21
RDP,0.52,76,0.4293865905848787,0.014140625,1.81
BU,0.52,89,0.7599825441850316,0.041953125,5.37
VW,0.52,96,0.9174065661779889,0.065859375,8.43
LSF,0.52,0,0.0,0.0,0.0
OS,0.53,100,1.0,0.26,33.28
RDP,0.53,76,0.4293865905848787,0.014140625,1.81
BU,0.53,90,0.7831743278404163,0.041640625,5.33
VW,0.53,96,0.9174065661779889,0.065546875,8.39
LSF,0.53,0,0.0,0.0,0.0
OS,0.54,100,1.0,0.27171875,34.78
RDP,0.54,76,0.4293865905848787,0.014140625,1.81
BU,0.54,91,0.806076276664512,0.041171875,5.27
VW,0.54,96,0.9174065661779889,0.0653125,8.36
LSF,0.54,0,0.0,0.0,0.0
OS,0.55,100,1.0,0.289140625,37.01
RDP,0.55,76,0.4293865905848787,0.014140625,1.81
BU,0.55,91,0.806076276664512,0.04078125,5.22
VW,0.55,96,0.9174065661779889,0.064921875,8.31
LSF,0.55,0,0.0,0.0,0.0
OS,0.56,100,1.0,0.300390625,38.45
RDP,0.56,76,0.4293865905848787,0.014140625,1.81
BU,0.56,91,0.806076276664512,0.040234375,5.15
VW,0.56,96,0.9174065661779889,0.064453125,8.25
LSF,0.56,0,0.0,0.0,0.0
OS,0.5700000000000001,100,1.0,0.313515625,40.13
RDP,0.5700000000000001,76,0.4293865905848787,0.014140625,1.81
BU,0.5700000000000001,91,0.806076276664512,0.04,5.12
VW,0.5700000000000001,96,0.9174065661779889,0.064375,8.24
LSF,0.5700000000000001,0,0.0,0.0,0.0
OS,0.58,100,1.0,0.32765625,41.94
RDP,0.58,76,0.4293865905848787,0.014140625,1.81
BU,0.58,92,0.828693790149893,0.039296875,5.03
VW,0.58,96,0.9174065661779889,0.064140625,8.21
LSF,0.58,0,0.0,0.0,0.0
OS,0.59,100,1.0,0.3390625,43.4
RDP,0.59,76,0.4293865905848787,0.014140625,1.81
BU,0.59,92,0.828693790149893,0.03890625,4.98
