Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.76,0.0,0.043478260869565216,1.0
RDP,0.0,1.0,1.0,0.9965217391304348,22.92
BU,0.0,1.0,1.0,1.043478260869565,24.0
VC,0.0,1.0,1.0,1.0,23.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.91,0.725943970767357,0.14130434782608695,3.25
RDP,0.1,0.94,0.8484848484848485,0.2604347826086957,5.99
BU,0.1,0.9,0.7406639004149378,0.15260869565217386,3.51
VC,0.1,0.96,0.8962655601659751,0.3665217391304347,8.43
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.95,0.8648648648648649,0.22999999999999993,5.29
RDP,0.2,0.92,0.8031496062992126,0.1773913043478261,4.08
BU,0.2,0.91,0.725943970767357,0.12173913043478259,2.8
VC,0.2,0.98,0.9466950959488273,0.2826086956521739,6.5
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.96,0.8903508771929824,0.27478260869565213,6.32
RDP,0.30000000000000004,0.92,0.7867803837953091,0.12913043478260866,2.97
BU,0.30000000000000004,0.93,0.7995418098510882,0.10130434782608695,2.33
VC,0.30000000000000004,0.95,0.872057318321392,0.25391304347826077,5.84
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.97,0.9165739710789766,0.32782608695652166,7.54
RDP,0.4,0.87,0.6673490276356192,0.09608695652173913,2.21
BU,0.4,0.92,0.797979797979798,0.09,2.07
VC,0.4,0.96,0.8962655601659751,0.23086956521739133,5.31
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.4134782608695652,9.51
RDP,0.5,0.78,0.31930693069306926,0.06347826086956522,1.46
BU,0.5,0.9,0.7406639004149378,0.08695652173913043,2.0
VC,0.5,0.92,0.8031496062992126,0.20913043478260868,4.81
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.5026086956521739,11.56
RDP,0.6000000000000001,0.78,0.15644171779141103,0.04565217391304348,1.05
BU,0.6000000000000001,0.9,0.7406639004149378,0.08695652173913043,2.0
VC,0.6000000000000001,0.91,0.7813411078717201,0.1934782608695652,4.45
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.6121739130434782,14.08
RDP,0.7000000000000001,0.79,0.17840375586854462,0.04391304347826087,1.01
BU,0.7000000000000001,0.9,0.7406639004149378,0.08695652173913043,2.0
VC,0.7000000000000001,0.89,0.7393364928909953,0.18173913043478263,4.18
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.7286956521739129,16.76
RDP,0.8,0.78,0.12140575079872207,0.043478260869565216,1.0
BU,0.8,0.9,0.7406639004149378,0.08695652173913043,2.0
VC,0.8,0.86,0.680073126142596,0.1760869565217391,4.05
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.8534782608695654,19.63
RDP,0.9,0.78,0.12140575079872207,0.043478260869565216,1.0
BU,0.9,0.9,0.7406639004149378,0.08695652173913043,2.0
VC,0.9,0.84,0.6428571428571428,0.17304347826086958,3.98
LSF,0.9,0.0,0.0,0.0,0.0
