Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,1.0,1.0,0.007194244604316543,1.0
RDP,0.0,1.0,1.0,0.9999280575539568,138.99
BU,0.0,1.0,1.0,1.007194244604317,140.0
VC,0.0,1.0,1.0,1.0,139.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,1.0,1.0,0.09510791366906476,13.22
RDP,0.1,1.0,1.0,0.043237410071942435,6.01
BU,0.1,1.0,1.0,0.05129496402877696,7.13
VC,0.1,1.0,1.0,0.12798561151079135,17.79
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,1.0,1.0,0.1381294964028777,19.2
RDP,0.2,1.0,1.0,0.020647482014388485,2.87
BU,0.2,1.0,1.0,0.028992805755395673,4.03
VC,0.2,1.0,1.0,0.09402877697841724,13.07
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,1.0,1.0,0.17223021582733822,23.94
RDP,0.30000000000000004,1.0,1.0,0.01043165467625899,1.45
BU,0.30000000000000004,1.0,1.0,0.021582733812949638,3.0
VC,0.30000000000000004,1.0,1.0,0.08057553956834532,11.2
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,1.0,1.0,0.21431654676258993,29.79
RDP,0.4,0.98,0.0,0.007482014388489205,1.04
BU,0.4,1.0,1.0,0.018345323741007197,2.55
VC,0.4,1.0,1.0,0.07561151079136691,10.51
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.27438848920863307,38.14
RDP,0.5,0.97,0.0,0.007194244604316543,1.0
BU,0.5,1.0,1.0,0.01611510791366906,2.24
VC,0.5,1.0,1.0,0.07043165467625898,9.79
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.3617985611510791,50.29
RDP,0.6000000000000001,0.97,0.0,0.007194244604316543,1.0
BU,0.6000000000000001,1.0,1.0,0.015467625899280569,2.15
VC,0.6000000000000001,1.0,1.0,0.06611510791366905,9.19
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.50431654676259,70.1
RDP,0.7000000000000001,0.97,0.0,0.007194244604316543,1.0
BU,0.7000000000000001,1.0,1.0,0.014964028776978411,2.08
VC,0.7000000000000001,1.0,1.0,0.06035971223021581,8.39
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.6736690647482014,93.64
RDP,0.8,0.97,0.0,0.007194244604316543,1.0
BU,0.8,1.0,1.0,0.014604316546762584,2.03
VC,0.8,1.0,1.0,0.05769784172661868,8.02
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.8523021582733813,118.47
RDP,0.9,0.97,0.0,0.007194244604316543,1.0
BU,0.9,1.0,1.0,0.014460431654676253,2.01
VC,0.9,1.0,1.0,0.05402877697841725,7.51
LSF,0.9,0.0,0.0,0.0,0.0
